Offense Code,District,Frequency
1842,a7,53
1842,b2,258
1842,b3,102
1842,c11,192
1842,c6,143
1842,d14,40
1842,d4,270
1842,e13,163
1842,e18,72
1842,e5,53
1843,a1,210
1843,a15,30
1843,a7,69
1843,b2,309
1843,b3,388
1843,c11,348
1843,c6,230
1843,d14,85
1843,d4,199
1843,e13,79
1843,e18,68
1843,e5,74
1844,a1,37
1844,a15,5
1844,a7,48
1844,b2,38
1844,b3,9
1844,c11,51
1844,c6,73
1844,d14,32
1844,d4,105
1844,e13,19
1844,e18,14
1844,e5,19
1845,a1,118
1845,a15,15
1845,a7,88
1845,b2,164
1845,b3,106
1845,c11,110
1845,c6,31
1845,d14,47
1845,d4,57
1845,e13,53
1845,e18,52
1845,e5,49
1846,a1,65
1846,a15,7
1846,a7,57
1846,b2,49
1846,b3,12
1846,c11,42
1846,c6,91
1846,d14,29
1846,d4,161
1846,e13,36
1846,e18,14
1846,e5,19
1847,a1,17
1847,a15,1
1847,a7,5
1847,b2,16
1847,b3,7
1847,c11,15
1847,c6,42
1847,d14,11
1847,d4,62
1847,e13,10
1847,e18,5
1847,e5,8
1848,a1,119
1848,a15,13
1848,a7,38
1848,b2,139
1848,b3,119
1848,c11,150
1848,c6,69
1848,d14,55
1848,d4,51
1848,e13,43
1848,e18,51
1848,e5,32
1849,a1,479
1849,a15,35
1849,a7,169
1849,b2,335
1849,b3,191
1849,c11,336
1849,c6,219
1849,d14,112
1849,d4,336
1849,e13,171
1849,e18,88
1849,e5,84
1850,a1,14
1850,a7,1
1850,b2,12
1850,b3,7
1850,c11,10
1850,c6,49
1850,d14,4
1850,d4,41
1850,e13,6
1850,e18,2
1850,e5,6
1863,b2,1
1864,e13,1
1866,d4,2
1870,a1,8
1870,a7,2
1870,b2,13
1870,b3,5
1870,c11,21
1870,c6,6
1870,d14,3
1870,d4,6
1870,e13,9
1870,e18,5
1870,e5,8
1874,a1,204
1874,a15,16
1874,a7,88
1874,b2,99
1874,b3,66
1874,c11,287
1874,c6,221
1874,d14,38
1874,d4,76
1874,e13,74
1874,e18,51
1874,e5,46
1901,b2,1
1901,c11,2
1901,e13,4
1901,e18,1
2003,a1,7
2003,a15,3
2003,a7,3
2003,b2,38
2003,b3,44
2003,c11,31
2003,c6,13
2003,d14,9
2003,d4,11
2003,e13,6
2003,e18,16
2003,e5,5
2004,a1,1
2004,a15,5
2004,a7,2
2004,b2,3
2004,b3,18
2004,c11,6
2004,c6,3
2004,d14,4
2004,d4,11
2004,e13,2
2004,e18,2
2004,e5,2
2005,a1,7
2005,a15,4
2005,a7,18
2005,b2,58
2005,b3,42
2005,c11,40
2005,c6,23
2005,d14,21
2005,d4,13
2005,e13,10
2005,e18,15
2005,e5,5
2006,a1,16
2006,a15,3
2006,a7,20
2006,b2,52
2006,b3,53
2006,c11,60
2006,c6,7
2006,d14,11
2006,d4,18
2006,e13,9
2006,e18,15
2006,e5,5
2007,a1,86
2007,a15,27
2007,a7,48
2007,b2,244
2007,b3,230
2007,c11,276
2007,c6,61
2007,d14,66
2007,d4,118
2007,e13,45
2007,e18,99
2007,e5,35
2010,a1,1
2010,a7,3
2010,b2,16
2010,b3,10
2010,c11,14
2010,c6,5
2010,d14,5
2010,d4,6
2010,e13,4
2010,e18,8
2010,e5,5
2101,a1,50
2101,a15,13
2101,a7,52
2101,b2,71
2101,b3,51
2101,c11,69
2101,c6,15
2101,d14,32
2101,d4,49
2101,e13,30
2101,e18,23
2101,e5,27
2102,a1,7
2102,a15,1
2102,a7,5
2102,b2,13
2102,b3,4
2102,c11,14
2102,c6,9
2102,d14,2
2102,d4,17
2102,e13,5
2102,e18,8
2102,e5,4
2204,a1,54
2204,a15,3
2204,a7,9
2204,b2,39
2204,b3,8
2204,c11,5
2204,c6,26
2204,d14,38
2204,d4,61
2204,e13,3
2204,e18,1
2204,e5,7
2401,a1,52
2401,a15,2
2401,a7,13
2401,b2,29
2401,b3,29
2401,c11,14
2401,c6,12
2401,d14,11
2401,d4,59
2401,e13,12
2401,e18,10
2401,e5,6
2403,a1,145
2403,a15,15
2403,a7,46
2403,b2,126
2403,b3,52
2403,c11,79
2403,c6,105
2403,d14,51
2403,d4,91
2403,e13,38
2403,e18,37
2403,e5,51
2405,a1,405
2405,a15,21
2405,a7,41
2405,b2,191
2405,b3,113
2405,c11,105
2405,c6,92
2405,d14,36
2405,d4,284
2405,e13,50
2405,e18,28
2405,e5,27
2407,a1,24
2407,a15,7
2407,a7,8
2407,b2,23
2407,b3,6
2407,c11,13
2407,c6,9
2407,d14,6
2407,d4,21
2407,e13,2
2407,e18,4
2407,e5,4
2511,a1,2
2511,a7,3
2511,b2,8
2511,b3,12
2511,c11,4
2511,c6,3
2511,d14,1
2511,d4,4
2511,e13,2
2511,e18,4
2511,e5,1
2604,a1,16
2604,a15,6
2604,a7,10
2604,b2,31
2604,b3,33
2604,c11,16
2604,c6,9
2604,d14,18
2604,d4,27
2604,e13,6
2604,e18,7
2604,e5,8
2605,b2,1
2605,b3,2
2605,c6,3
2605,d4,2
