Offence Code,Day,Frequency
2003,monday,23
2003,saturday,27
2003,sunday,25
2003,thursday,20
2003,tuesday,29
2003,wednesday,25
2004,friday,9
2004,monday,10
2004,saturday,9
2004,sunday,4
2004,thursday,7
2004,tuesday,10
2004,wednesday,10
2005,friday,31
2005,monday,47
2005,saturday,31
2005,sunday,32
2005,thursday,37
2005,tuesday,38
2005,wednesday,40
2006,friday,39
2006,monday,47
2006,saturday,38
2006,sunday,32
2006,thursday,37
2006,tuesday,42
2006,wednesday,34
2007,friday,213
2007,monday,194
2007,saturday,173
2007,sunday,153
2007,thursday,178
2007,tuesday,204
2007,wednesday,223
2010,friday,9
2010,monday,13
2010,saturday,10
2010,sunday,14
2010,thursday,12
2010,tuesday,9
2010,wednesday,10
2101,friday,78
2101,monday,56
2101,saturday,100
2101,sunday,111
2101,thursday,54
2101,tuesday,35
2101,wednesday,50
2102,friday,8
2102,monday,13
2102,saturday,14
2102,sunday,10
2102,thursday,9
2102,tuesday,17
2102,wednesday,19
2204,friday,48
2204,monday,26
2204,saturday,55
2204,sunday,53
2204,thursday,31
2204,tuesday,20
2204,wednesday,23
2401,friday,31
2401,monday,46
2401,saturday,35
2401,sunday,38
2401,thursday,36
2401,tuesday,25
2401,wednesday,38
2403,friday,109
2403,monday,115
2403,saturday,137
2403,sunday,138
2403,thursday,116
2403,tuesday,106
2403,wednesday,116
2405,friday,195
2405,monday,160
2405,saturday,216
2405,sunday,218
2405,thursday,229
2405,tuesday,185
2405,wednesday,195
2407,friday,19
2407,monday,22
2407,saturday,9
2407,sunday,10
2407,thursday,21
2407,tuesday,22
2407,wednesday,24
2511,friday,6
2511,monday,5
2511,saturday,6
2511,sunday,8
2511,thursday,8
2511,tuesday,8
2511,wednesday,3
2604,friday,28
2604,monday,26
2604,saturday,29
2604,sunday,25
2604,thursday,21
2604,tuesday,40
2604,wednesday,19
2605,friday,3
2605,monday,1
2605,saturday,1
2605,thursday,2
2605,tuesday,1
2606,sunday,1
2608,friday,2
2608,monday,9
2608,saturday,5
2608,sunday,5
2608,thursday,2
2608,tuesday,7
2608,wednesday,6
2609,monday,1
2610,friday,519
2610,monday,483
2610,saturday,364
2610,sunday,356
2610,thursday,548
2610,tuesday,475
2610,wednesday,509
2611,monday,3
2611,tuesday,7
2611,wednesday,2
2612,friday,22
2612,monday,18
2612,saturday,15
2612,sunday,20
2612,thursday,18
2612,tuesday,14
2612,wednesday,19
2613,friday,10
2613,monday,8
2613,saturday,5
2613,sunday,16
2613,thursday,10
2613,tuesday,10
2613,wednesday,5
2616,friday,21
2616,monday,29
2616,saturday,28
2616,sunday,29
2616,thursday,41
2616,tuesday,38
2616,wednesday,41
2617,friday,2
2617,monday,7
2617,sunday,1
2617,thursday,6
2617,wednesday,3
2618,friday,3
2618,monday,1
2618,saturday,2
2618,sunday,2
2618,thursday,3
2618,tuesday,1
2618,wednesday,1
2619,friday,50
2619,monday,24
2619,saturday,11
2619,sunday,7
2619,thursday,48
2619,tuesday,38
2619,wednesday,42
2622,friday,11
2622,monday,3
2622,saturday,8
2622,sunday,2
2622,thursday,11
2622,tuesday,5
2622,wednesday,8
2623,friday,12
2623,monday,12
2623,saturday,9
2623,sunday,10
2623,thursday,18
2623,tuesday,10
2623,wednesday,9
2628,friday,4
2628,monday,5
2628,saturday,2
2628,sunday,5
2628,thursday,5
2628,tuesday,4
2628,wednesday,6
2629,friday,593
2629,monday,638
2629,saturday,436
2629,sunday,476
2629,thursday,621
2629,tuesday,620
2629,wednesday,623
2631,friday,2
2631,monday,1
2631,saturday,1
2631,thursday,2
2631,tuesday,1
2631,wednesday,3
2632,friday,52
2632,monday,65
2632,saturday,72
2632,sunday,60
2632,thursday,62
2632,tuesday,49
2632,wednesday,47
2636,friday,1
2636,monday,3
2636,sunday,2
2636,tuesday,1
2636,wednesday,2
2641,friday,1
2641,monday,1
2641,saturday,6
2641,thursday,5
2641,wednesday,2
2642,friday,1
2642,monday,3
2642,saturday,4
2642,sunday,2
2642,thursday,10
2642,tuesday,6
2642,wednesday,5
2646,friday,178
2646,monday,103
2646,saturday,46
2646,sunday,48
2646,thursday,194
2646,tuesday,112
2646,wednesday,115
2647,friday,1364
2647,monday,1348
2647,saturday,1057
2647,sunday,1009
2647,thursday,1403
2647,tuesday,1419
2647,wednesday,1442
2648,friday,15
2648,monday,15
2648,saturday,5
2648,sunday,3
2648,thursday,14
2648,tuesday,13
2648,wednesday,10
2657,friday,36
2657,monday,46
2657,saturday,44
2657,sunday,95
2657,thursday,54
2657,tuesday,48
2657,wednesday,47
2660,friday,92
2660,monday,79
2660,saturday,82
2660,sunday,77
2660,thursday,118
2660,tuesday,92
2660,wednesday,104
2662,friday,119
2662,monday,137
2662,saturday,174
2662,sunday,150
2662,thursday,123
2662,tuesday,145
2662,wednesday,133
2663,friday,11
2663,monday,9
2663,saturday,7
2663,sunday,2
2663,thursday,8
2663,tuesday,8
2663,wednesday,6
2664,friday,1
2664,monday,1
2664,saturday,2
2664,sunday,2
2664,thursday,3
2670,friday,19
2670,monday,20
2670,saturday,11
2670,sunday,20
2670,thursday,17
2670,tuesday,26
2670,wednesday,18
2672,friday,1
2672,wednesday,1
2900,friday,411
2900,monday,420
2900,saturday,415
2900,sunday,337
2900,thursday,480
2900,tuesday,416
2900,wednesday,415
2905,friday,311
2905,monday,259
2905,saturday,288
2905,sunday,226
2905,thursday,278
2905,tuesday,315
2905,wednesday,286
2906,friday,160
2906,monday,151
2906,saturday,151
2906,sunday,107
2906,thursday,159
2906,tuesday,163
2906,wednesday,160
2907,friday,380
2907,monday,415
2907,saturday,376
2907,sunday,247
2907,thursday,379
2907,tuesday,397
2907,wednesday,422
2910,friday,1
2910,tuesday,1
2914,friday,75
2914,monday,63
2914,saturday,61
2914,sunday,73
2914,thursday,61
2914,tuesday,66
2914,wednesday,64
3001,friday,180
3001,monday,171
3001,saturday,172
3001,sunday,167
3001,thursday,190
3001,tuesday,161
3001,wednesday,174
3002,friday,51
3002,monday,55
3002,saturday,53
3002,sunday,61
3002,thursday,50
3002,tuesday,46
3002,wednesday,51
3004,friday,9
3004,monday,9
3004,saturday,2
3004,sunday,6
3004,thursday,6
3004,tuesday,11
3004,wednesday,14
3006,friday,2682
3006,monday,2753
3006,saturday,2517
3006,sunday,2390
3006,thursday,2842
3006,tuesday,2776
3006,wednesday,2823
3007,friday,207
3007,monday,213
3007,saturday,185
3007,sunday,173
3007,thursday,173
3007,tuesday,185
3007,wednesday,211
3008,friday,47
3008,monday,45
3008,saturday,57
3008,sunday,53
3008,thursday,48
3008,tuesday,61
3008,wednesday,45
301,friday,478
301,monday,427
301,saturday,436
301,sunday,443
301,thursday,428
301,tuesday,436
301,wednesday,408
3016,friday,2
3016,monday,1
3016,saturday,4
3016,sunday,1
3016,thursday,1
3016,wednesday,1
3018,friday,203
3018,monday,194
3018,saturday,164
3018,sunday,167
3018,thursday,208
3018,tuesday,216
3018,wednesday,253
3029,friday,3
3029,monday,5
3029,saturday,5
3029,sunday,3
3029,thursday,1
3029,tuesday,4
3029,wednesday,2
3102,friday,38
3102,monday,30
3102,saturday,12
3102,sunday,22
3102,thursday,27
3102,tuesday,34
3102,wednesday,31
3106,friday,146
3106,monday,145
3106,saturday,104
3106,sunday,110
3106,thursday,132
3106,tuesday,141
3106,wednesday,134
3108,friday,187
3108,monday,188
3108,saturday,178
3108,sunday,193
3108,thursday,166
3108,tuesday,168
3108,wednesday,189
3109,friday,390
3109,monday,372
3109,saturday,216
3109,sunday,193
3109,thursday,462
3109,tuesday,439
3109,wednesday,487
311,friday,63
311,monday,66
311,saturday,87
311,sunday,105
311,thursday,84
311,tuesday,77
311,wednesday,72
3110,friday,36
3110,monday,29
3110,saturday,20
3110,sunday,12
3110,thursday,32
3110,tuesday,44
3110,wednesday,22
3111,friday,245
3111,monday,162
3111,saturday,368
3111,sunday,307
3111,thursday,236
3111,tuesday,142
3111,wednesday,241
3112,friday,132
3112,monday,148
3112,saturday,146
3112,sunday,114
3112,thursday,126
3112,tuesday,146
3112,wednesday,156
3114,friday,1644
3114,monday,1539
3114,saturday,1811
3114,sunday,1554
3114,thursday,1576
3114,tuesday,1485
3114,wednesday,1515
3115,friday,2929
3115,monday,2667
3115,saturday,2425
3115,sunday,2354
3115,thursday,2751
3115,tuesday,2822
3115,wednesday,2806
3116,friday,28
3116,monday,28
3116,saturday,29
3116,sunday,34
3116,thursday,30
3116,tuesday,31
3116,wednesday,32
3119,friday,110
3119,monday,104
3119,saturday,82
3119,sunday,60
3119,thursday,112
3119,tuesday,110
3119,wednesday,110
3122,friday,3
3122,monday,4
3122,saturday,9
3122,sunday,3
3122,thursday,4
3122,tuesday,7
3122,wednesday,6
3123,monday,4
3123,sunday,1
3123,thursday,2
3123,tuesday,2
3123,wednesday,5
3125,friday,1291
3125,monday,1267
3125,saturday,873
3125,sunday,690
3125,thursday,1430
3125,tuesday,1441
3125,wednesday,1415
3130,friday,194
3130,monday,132
